Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
94503,2017,20371.0,49.6,50.4,6.6,6.8,8.3,7.2,7.4,11.8,14.8,14.4,6.9,5.6,6.0,3.1,1.1,
94503,2018,20306.0,49.7,50.3,6.4,6.0,8.9,7.4,7.5,10.9,14.6,15.2,6.3,5.3,6.7,3.9,1.0,0.0
94503,2019,20276.0,49.8,50.2,5.7,6.2,8.5,7.7,7.5,11.4,13.7,15.1,6.8,5.4,6.8,4.3,1.1,
94503,2020,20295.0,48.9,51.1,5.7,6.3,8.7,7.5,8.0,11.6,12.9,15.2,6.5,5.8,6.7,3.8,1.3,
94503,2021,21874.0,49.4,50.6,4.8,5.9,8.9,8.0,8.0,12.1,12.7,15.3,6.4,5.8,7.5,3.4,1.2,
94503,2022,21791.0,48.5,51.5,5.3,6.0,9.0,7.7,8.5,12.2,12.0,13.6,6.4,6.5,7.6,4.0,1.3,
94508,2017,4176.0,51.7,48.3,3.3,3.6,2.5,13.8,21.2,12.5,9.7,9.3,6.2,5.7,8.3,3.0,0.7,
94508,2018,4298.0,51.1,48.9,2.8,3.5,3.8,14.9,19.6,12.6,8.6,11.8,5.6,5.4,7.9,2.6,1.0,0.0
94508,2019,3935.0,50.3,49.7,2.2,3.8,4.7,15.5,19.4,10.0,9.8,12.7,5.6,5.3,7.2,3.0,1.0,
94508,2020,4083.0,53.9,46.1,2.5,4.4,5.5,17.1,15.6,10.3,10.6,14.6,3.4,6.5,6.9,2.0,0.6,
94508,2021,3680.0,54.4,45.6,3.5,3.5,4.8,18.8,15.0,9.0,9.6,14.0,2.7,8.2,7.1,3.0,0.7,
94508,2022,3406.0,53.1,46.9,3.3,3.4,4.7,18.7,15.0,8.9,10.8,12.2,2.0,7.9,7.7,4.8,0.7,
94510,2017,28043.0,48.5,51.5,5.4,5.8,6.3,5.6,4.6,10.0,12.5,15.4,8.0,9.0,11.4,4.7,1.3,
94510,2018,28262.0,49.3,50.7,5.0,5.6,6.1,6.3,4.3,9.3,12.4,15.2,8.1,8.5,12.3,5.0,1.9,0.0
94510,2019,28350.0,48.8,51.2,4.6,5.4,6.2,5.9,3.8,9.2,13.2,14.5,8.6,8.7,12.6,5.2,2.2,
94510,2020,28297.0,49.2,50.8,5.2,5.4,6.1,5.5,3.8,9.4,13.2,13.3,8.8,8.1,13.9,5.1,2.2,
94510,2021,27327.0,48.8,51.2,5.1,5.7,6.2,6.3,3.6,10.2,12.7,13.6,8.3,7.4,14.0,4.8,2.2,
94510,2022,27223.0,48.5,51.5,5.0,5.9,5.7,6.0,3.8,11.0,12.4,13.5,8.1,6.9,14.2,5.3,2.2,
94512,2017,94.0,33.0,67.0,0.0,14.9,14.9,20.2,0.0,0.0,33.0,0.0,0.0,17.0,0.0,0.0,0.0,
94512,2018,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
94512,2019,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,
94512,2020,18.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,
94512,2021,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,
94512,2022,57.0,49.1,50.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,50.9,0.0,
94515,2017,7785.0,52.3,47.7,3.9,5.1,6.2,6.8,3.5,11.3,15.4,13.3,5.7,6.8,11.2,8.2,2.5,
94515,2018,7436.0,50.8,49.2,4.4,4.2,6.0,6.0,3.5,12.3,14.7,11.9,6.4,7.8,11.7,7.9,2.9,0.0
