Label,Estimate,Margin of Error,Year,Zip Code
Total (Households),23988.0,432.0,2017,94558
"Less than $10,000",2.4,0.5,2017,94558
"$10,000 to $14,999",3.6,0.8,2017,94558
"$15,000 to $24,999",6.1,1.0,2017,94558
"$25,000 to $34,999",6.1,0.9,2017,94558
"$35,000 to $49,999",10.5,1.1,2017,94558
"$50,000 to $74,999",16.1,1.4,2017,94558
"$75,000 to $99,999",13.2,1.3,2017,94558
"$100,000 to $149,999",19.2,1.5,2017,94558
"$150,000 to $199,999",10.4,1.0,2017,94558
"$200,000 or more",12.5,1.0,2017,94558
Median income (dollars),83491.0,2496.0,2017,94558
Mean income (dollars),112224.0,2695.0,2017,94558
Total (Households),22060.0,469.0,2017,95687
"Less than $10,000",3.6,0.9,2017,95687
"$10,000 to $14,999",3.8,1.0,2017,95687
"$15,000 to $24,999",6.1,1.1,2017,95687
"$25,000 to $34,999",6.1,1.3,2017,95687
"$35,000 to $49,999",11.9,1.6,2017,95687
"$50,000 to $74,999",16.7,1.8,2017,95687
"$75,000 to $99,999",15.7,1.9,2017,95687
"$100,000 to $149,999",20.5,1.5,2017,95687
"$150,000 to $199,999",9.2,1.1,2017,95687
"$200,000 or more",6.2,1.0,2017,95687
Median income (dollars),77222.0,3698.0,2017,95687
Mean income (dollars),92441.0,3297.0,2017,95687
Total (Households),23414.0,401.0,2017,94533
"Less than $10,000",5.5,1.1,2017,94533
"$10,000 to $14,999",4.2,0.9,2017,94533
"$15,000 to $24,999",8.0,1.1,2017,94533
"$25,000 to $34,999",9.0,1.3,2017,94533
"$35,000 to $49,999",13.0,1.3,2017,94533
"$50,000 to $74,999",17.9,1.5,2017,94533
"$75,000 to $99,999",14.4,1.3,2017,94533
"$100,000 to $149,999",17.2,1.3,2017,94533
"$150,000 to $199,999",6.3,1.0,2017,94533
"$200,000 or more",4.4,0.9,2017,94533
Median income (dollars),62612.0,2328.0,2017,94533
Mean income (dollars),79548.0,3846.0,2017,94533
Total (Households),12750.0,292.0,2017,94534
