Zip Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
94558,2017,5.66,1398.3,293.00,205.90
94558,2018,5.31,1472.57,308.56,216.83
94558,2019,2.37,1507.4,315.86,221.96
94558,2020,1.17,1525.04,319.56,224.56
94558,2021,10.92,1691.54,354.45,249.08
94558,2022,11.18,1880.66,394.07,276.93
94558,2023,3.84,1952.81,409.19,287.55
95687,2017,7.46,595.1,241.18,188.68
95687,2018,7.01,636.84,258.10,201.91
95687,2019,3.55,659.47,267.27,209.09
95687,2020,2.6,676.64,274.23,214.53
95687,2021,15.78,783.38,317.49,248.37
95687,2022,10.52,865.77,350.88,274.50
95687,2023,-1.13,855.96,346.90,271.39
94533,2017,11.39,527.91,233.03,189.27
94533,2018,7.43,567.11,250.34,203.32
94533,2019,5.23,596.75,263.42,213.95
94533,2020,2.87,613.87,270.98,220.09
94533,2021,15.16,706.94,312.06,253.45
94533,2022,12.93,798.32,352.40,286.22
94533,2023,-0.54,793.98,350.49,284.66
94534,2017,6.25,661.31,221.22,173.99
94534,2018,7.58,711.44,237.99,187.18
94534,2019,2.24,727.4,243.33,191.38
94534,2020,2.34,744.39,249.02,195.85
94534,2021,14.07,849.12,284.05,223.41
94534,2022,11.68,948.27,317.22,249.49
94534,2023,1.24,960.05,321.16,252.59
95688,2017,7.06,803.89,238.95,183.15
95688,2018,5.88,851.12,252.98,193.91
95688,2019,3.38,879.9,261.54,200.47
95688,2020,1.77,895.47,266.17,204.01
95688,2021,14.92,1029.05,305.87,234.45
95688,2022,11.02,1142.47,339.58,260.29
95688,2023,-1.91,1120.66,333.10,255.32
95448,2017,3.99,1378.09,359.47,225.81
95448,2018,9.24,1505.47,392.70,246.68
95448,2019,-2.47,1468.34,383.01,240.60
95448,2020,-0.13,1466.37,382.50,240.28
95448,2021,8.13,1585.65,413.61,259.82
95448,2022,12.56,1784.86,465.57,292.46
95448,2023,0.1,1786.62,466.03,292.75
94574,2017,4.39,1275.41,400.36,215.85
94574,2018,3.18,1315.96,413.08,222.71
94574,2019,3.74,1365.18,428.53,231.04
94574,2020,0.63,1373.78,431.23,232.50
94574,2021,9.08,1498.51,470.39,253.61
94574,2022,1.8,1525.53,478.87,258.18
94574,2023,-6.24,1430.4,449.01,242.08
95446,2017,8.23,715.13,297.29,195.44
95446,2018,10.14,787.61,327.42,215.25
95446,2019,0.76,793.62,329.92,216.89
95446,2020,-0.55,789.26,328.11,215.70
95446,2021,11.09,876.81,364.51,239.63
95446,2022,14.56,1004.45,417.57,274.51
95446,2023,-2.31,981.21,407.91,268.16
95436,2017,8.08,1010.54,296.16,197.08
95436,2018,3.94,1050.36,307.83,204.85
95436,2019,1.31,1064.1,311.86,207.53
95436,2020,0.92,1073.94,314.74,209.44
95436,2021,11.26,1194.83,350.17,233.02
95436,2022,13.48,1355.91,397.38,264.44
95436,2023,-2.95,1315.94,385.67,256.64
95694,2017,6.53,421.54,250.43,205.21
95694,2018,5.91,446.43,265.22,217.32
95694,2019,3.68,462.87,274.99,225.33
95694,2020,1.33,469.01,278.63,228.32
95694,2021,11.18,521.43,309.78,253.84
95694,2022,13.21,590.31,350.70,287.36
95694,2023,0.5,593.24,352.44,288.79
94515,2017,3.56,535.25,299.48,192.32
94515,2018,7.45,575.1,321.78,206.64
94515,2019,5.77,608.3,340.36,218.57
94515,2020,0.12,609.03,340.77,218.83
94515,2021,7.33,653.65,365.73,234.86
94515,2022,-0.43,650.82,364.15,233.84
94515,2023,-3.22,629.84,352.41,226.31
95987,2017,10.06,203.77,.,169.65
95987,2018,7.39,218.83,.,182.18
95987,2019,11.23,243.41,.,202.65
95987,2020,3.5,251.93,.,209.74
95987,2021,11.18,280.09,.,233.19
95987,2022,10.17,308.59,.,256.91
95987,2023,8.73,335.53,.,279.34
95461,2017,7.81,228.27,.,164.86
95461,2018,8.03,246.6,.,178.10
95461,2019,-1.52,242.85,.,175.39
95461,2020,9.11,264.96,.,191.37
95461,2021,9.51,290.16,.,209.56
95461,2022,6.53,309.12,.,223.25
95461,2023,-15.55,261.05,.,188.54
95457,2017,9.06,239.09,.,161.49
95457,2018,5.16,251.42,.,169.82
95457,2019,2.97,258.88,.,174.85
95457,2020,-1.65,254.61,.,171.97
95457,2021,21.08,308.28,.,208.22
95457,2022,8.35,334.03,.,225.61
95457,2023,7.92,360.5,.,243.49
95627,2017,8.67,202.77,.,177.57
95627,2018,12.73,228.58,.,200.18
95627,2019,5.09,240.22,.,210.37
95627,2020,4.35,250.66,.,219.51
95627,2021,10.37,276.64,.,242.27
95627,2022,21.31,335.6,.,293.90
95627,2023,,,.,.
95421,2017,3.36,330.09,287.24,185.53
95421,2018,11.21,367.09,319.44,206.33
95421,2019,1.62,373.03,324.61,209.67
95421,2020,2.44,382.13,332.53,214.78
95421,2021,9.68,419.12,364.71,235.57
95421,2022,-9.45,379.52,330.25,213.32
95421,2023,38.89,527.12,458.69,296.28
95441,2017,3.29,343.99,.,211.73
95441,2018,14.94,395.37,.,243.36
95441,2019,-2.07,387.18,.,238.32
95441,2020,-5.43,366.14,.,225.37
95441,2021,12.94,413.51,.,254.53
95441,2022,,,.,.
95441,2023,,,.,.
95450,,,,,
94567,2017,3.5,185.26,.,152.90
94567,2018,2.23,189.38,.,156.30
94567,2019,-7.59,175.01,.,144.44
94567,2020,2.67,179.69,.,148.30
94567,2021,22.8,220.65,.,182.11
94567,2022,,,.,.
94567,2023,,,.,.
95637,,,,,
95607,,,,,
95606,,,,,
95679,,,,,
94591,2017,9.29,753.1,222.69,176.86
94591,2018,9.47,824.42,243.78,193.61
94591,2019,3.19,850.7,251.55,199.78
94591,2020,3.14,877.39,259.44,206.05
94591,2021,14.83,1007.52,297.92,236.61
94591,2022,12.06,1129.04,333.85,265.15
94591,2023,-1.88,1107.85,327.59,260.18
95403,2017,8.65,1163.85,261.97,188.48
95403,2018,9.17,1270.58,286.00,205.77
95403,2019,1.71,1292.25,290.87,209.27
95403,2020,0.64,1300.56,292.74,210.62
95403,2021,8.33,1408.92,317.13,228.17
95403,2022,9.74,1546.14,348.02,250.39
95403,2023,5.42,1629.92,366.88,263.96
95404,2017,9.24,1355.31,275.43,191.77
95404,2018,9.42,1483.03,301.39,209.84
95404,2019,-1.21,1465.08,297.74,207.30
95404,2020,-0.81,1453.18,295.32,205.62
95404,2021,9.18,1586.53,322.42,224.49
95404,2022,8.97,1728.92,351.36,244.64
95404,2023,2.78,1777.06,361.14,251.45
95476,2017,7.15,1876.68,316.34,200.49
95476,2018,7.36,2014.89,339.64,215.26
95476,2019,0.99,2034.79,342.99,217.38
95476,2020,0.42,2043.34,344.43,218.30
95476,2021,7.15,2189.44,369.06,233.90
95476,2022,11.38,2438.52,411.05,260.51
95476,2023,0.49,2450.47,413.06,261.79
95616,2017,5.94,1224.79,283.29,230.60
95616,2018,5.04,1286.53,297.57,242.23
95616,2019,2.78,1322.29,305.84,248.96
95616,2020,0.93,1334.55,308.68,251.27
95616,2021,6.5,1421.37,328.76,267.61
95616,2022,14.49,1627.39,376.41,306.40
95616,2023,-0.52,1618.94,374.46,304.81
95409,2017,6.21,1337.38,269.07,187.78
95409,2018,8.53,1451.44,292.02,203.80
95409,2019,-1.25,1433.23,288.36,201.24
95409,2020,-0.39,1427.67,287.24,200.46
95409,2021,6.5,1520.51,305.91,213.49
95409,2022,9.52,1665.25,335.04,233.82
95409,2023,5.73,1760.64,354.23,247.21
95401,2017,8.48,1460.07,278.84,192.53
95401,2018,9.56,1599.59,305.48,210.93
95401,2019,-0.26,1595.41,304.68,210.38
95401,2020,1.65,1621.73,309.71,213.85
95401,2021,8.73,1763.38,336.76,232.53
95401,2022,13.3,1997.83,381.54,263.44
95401,2023,-0.33,1991.2,380.27,262.57
95472,2017,7.68,1637.38,312.64,196.58
95472,2018,8.41,1775.08,338.94,213.11
95472,2019,-0.3,1769.7,337.91,212.46
95472,2020,-1.29,1746.83,333.54,209.72
95472,2021,9.06,1905.04,363.75,228.71
95472,2022,11.32,2120.7,404.93,254.60
95472,2023,9.08,2313.17,441.68,277.71
94510,2017,6.57,1195.75,265.60,187.55
94510,2018,5.2,1257.96,279.42,197.31
94510,2019,2.04,1283.6,285.11,201.33
94510,2020,1.41,1301.74,289.14,204.17
94510,2021,10.85,1443.01,320.52,226.33
94510,2022,12.21,1619.22,359.66,253.97
94510,2023,2.35,1657.28,368.11,259.94
95695,2017,8.77,735.51,229.38,196.03
95695,2018,5.43,775.46,241.84,206.68
95695,2019,5.56,818.54,255.28,218.16
95695,2020,1.23,828.59,258.41,220.84
95695,2021,14.32,947.21,295.40,252.45
95695,2022,14.11,1080.9,337.10,288.08
95695,2023,-3.02,1048.25,326.92,279.38
95492,2017,7.67,693.86,275.07,188.38
95492,2018,9.02,756.43,299.88,205.36
95492,2019,0.14,757.48,300.29,205.65
95492,2020,0.63,762.26,302.19,206.95
95492,2021,6.48,811.68,321.78,220.36
95492,2022,7.92,875.98,347.27,237.82
95492,2023,3.55,907.1,359.61,246.27
94585,2017,8.74,715.42,229.22,185.79
94585,2018,6.5,761.94,244.12,197.87
94585,2019,5.61,804.67,257.81,208.97
94585,2020,2.96,828.45,265.44,215.15
94585,2021,16.04,961.33,308.01,249.65
94585,2022,14.28,1098.6,351.99,285.30
94585,2023,-3.02,1065.38,341.35,276.68
94559,2017,4.96,1631.59,328.60,223.03
94559,2018,6.08,1730.77,348.58,236.58
94559,2019,2.88,1780.65,358.62,243.40
94559,2020,3.23,1838.13,370.20,251.26
94559,2021,9.5,2012.68,405.35,275.12
94559,2022,9.82,2210.32,445.16,302.13
94559,2023,3.15,2280.01,459.19,311.66
95405,2017,7.13,1248.06,259.08,185.98
95405,2018,10.2,1375.35,285.51,204.95
95405,2019,-1.15,1359.59,282.23,202.60
95405,2020,-0.15,1357.53,281.81,202.29
95405,2021,6.8,1449.89,300.98,216.06
95405,2022,10.41,1600.82,332.31,238.55
95405,2023,2.21,1636.13,339.64,243.81
95620,2017,7.12,428.66,225.08,188.70
95620,2018,7.4,460.39,241.74,202.67
95620,2019,3.29,475.52,249.69,209.33
95620,2020,2.83,488.98,256.76,215.26
95620,2021,14.34,559.12,293.58,246.13
95620,2022,10.15,615.87,323.38,271.12
95620,2023,-0.6,612.18,321.45,269.49
94503,2017,6.59,399.0,253.65,194.55
94503,2018,6.84,426.31,271.01,207.86
94503,2019,2.46,436.8,277.68,212.97
94503,2020,1.55,443.56,281.98,216.27
94503,2021,13.12,501.74,318.96,244.64
94503,2022,12.83,566.1,359.87,276.02
94503,2023,-4.84,538.68,342.44,262.65
95422,2017,8.68,262.31,237.14,189.24
95422,2018,8.54,284.7,257.39,205.40
95422,2019,5.46,300.25,271.45,216.62
95422,2020,10.1,330.59,298.88,238.51
95422,2021,12.49,371.88,336.20,268.29
95422,2022,17.1,435.47,393.69,314.17
95422,2023,5.04,457.42,413.54,330.01
95451,2017,14.4,385.86,237.28,184.02
95451,2018,7.44,414.57,254.93,197.71
95451,2019,2.2,423.68,260.54,202.06
95451,2020,2.22,433.09,266.32,206.54
95451,2021,10.59,478.96,294.53,228.42
95451,2022,6.59,510.51,313.93,243.46
95451,2023,-1.62,502.25,308.85,239.53
94571,2017,12.01,296.59,205.65,163.15
94571,2018,9.62,325.13,225.44,178.85
94571,2019,5.51,343.06,237.88,188.71
94571,2020,1.24,347.31,240.82,191.05
94571,2021,14.16,396.51,274.93,218.11
94571,2022,11.64,442.68,306.95,243.51
94571,2023,-0.38,441.01,305.79,242.59
95425,2017,10.27,1110.15,274.63,190.09
95425,2018,8.51,1204.61,298.00,206.26
95425,2019,-1.03,1192.15,294.92,204.13
95425,2020,1.07,1204.91,298.07,206.32
95425,2021,6.81,1286.96,318.37,220.37
95425,2022,7.31,1381.02,341.64,236.47
95425,2023,4.39,1441.71,356.66,246.86
95467,2017,13.51,353.35,251.61,180.50
95467,2018,-0.33,352.2,250.80,179.92
95467,2019,2.87,362.33,258.01,185.09
95467,2020,-0.2,361.61,257.50,184.72
95467,2021,11.77,404.19,287.81,206.47
95467,2022,,,.,.
95467,2023,,,.,.
95423,2017,1.89,202.72,.,179.61
95423,2018,1.09,204.92,.,181.57
95423,2019,11.92,229.35,.,203.21
95423,2020,5.15,241.16,.,213.68
95423,2021,6.95,257.92,.,228.53
95423,2022,26.83,327.12,.,289.84
95423,2023,-15.75,275.6,.,244.20
95932,2017,13.28,312.92,236.05,186.11
95932,2018,6.49,333.23,251.38,198.19
95932,2019,6.03,353.33,266.54,210.15
95932,2020,4.9,370.64,279.60,220.45
95932,2021,13.13,419.29,316.30,249.38
95932,2022,13.39,475.43,358.65,282.77
95932,2023,1.01,480.21,362.26,285.62
95497,,,,,
95442,2017,9.91,564.93,300.96,189.10
95442,2018,4.22,588.76,313.65,197.08
95442,2019,1.68,598.63,318.91,200.38
95442,2020,2.37,612.79,326.45,205.13
95442,2021,5.97,649.37,345.94,217.37
95442,2022,6.13,689.2,367.16,230.70
95442,2023,,,.,.
95445,2017,4.78,191.8,.,169.78
95445,2018,10.38,211.71,.,187.40
95445,2019,7.65,227.9,.,201.73
95445,2020,-2.64,221.88,.,196.41
95445,2021,19.47,265.07,.,234.64
95445,2022,-3.88,254.78,.,225.53
95445,2023,,,.,.
94599,2017,5.57,699.21,376.59,232.73
94599,2018,5.25,735.94,396.37,244.96
94599,2019,10.9,816.19,439.59,271.67
94599,2020,2.23,834.43,449.41,277.74
94599,2021,4.82,874.62,471.06,291.12
94599,2022,,,.,.
94599,2023,,,.,.
94535,,,,,
95912,2017,5.19,195.32,.,183.37
95912,2018,14.96,224.53,.,210.80
95912,2019,6.26,238.59,.,223.99
95912,2020,-0.62,237.1,.,222.60
95912,2021,10.66,262.37,.,246.32
95912,2022,18.65,311.3,.,292.26
95912,2023,-10.09,279.89,.,262.77
94508,2017,6.62,397.84,269.01,188.34
94508,2018,-1.18,393.14,265.83,186.11
94508,2019,5.73,415.65,281.05,196.77
94508,2020,-3.82,399.76,270.31,189.25
94508,2021,8.83,435.07,294.18,205.97
94508,2022,-5.48,411.22,278.05,194.67
94508,2023,,,.,.
95462,2017,10.6,529.03,327.98,222.11
95462,2018,3.5,547.53,339.44,229.88
95462,2019,6.22,581.6,360.56,244.18
95462,2020,-3.31,562.35,348.63,236.10
95462,2021,16.85,657.11,407.38,275.88
95462,2022,14.33,751.28,465.76,315.42
95462,2023,8.33,813.88,504.56,341.70
95426,2017,,,.,.
95426,2018,,,.,.
95426,2019,,247.52,.,197.44
95426,2020,14.68,283.86,.,226.43
95426,2021,13.76,322.91,.,257.58
95426,2022,-5.65,304.68,.,243.03
95426,2023,,,.,.
95452,2017,-2.34,602.77,318.61,199.61
95452,2018,22.27,737.01,389.57,244.07
95452,2019,-10.74,657.89,347.74,217.86
95452,2020,1.03,664.67,351.33,220.11
95452,2021,1.97,677.74,358.23,224.44
95452,2022,19.06,806.94,426.53,267.22
95452,2023,2.92,830.49,438.97,275.02
95465,2017,10.5,564.04,322.95,216.25
95465,2018,4.93,591.87,338.88,226.92
95465,2019,4.21,616.8,353.15,236.48
95465,2020,-4.32,590.13,337.88,226.26
95465,2021,12.08,661.44,378.71,253.60
95465,2022,11.81,739.57,423.45,283.55
95465,2023,,,.,.
95449,2017,,,.,.
95449,2018,,,.,.
95449,2019,,171.84,.,.
95449,2020,10.42,189.73,.,.
95449,2021,9.96,208.62,.,.
95449,2022,4.08,217.13,.,.
95449,2023,,,.,.
95937,,,,,
95444,2017,-1.3,306.18,.,.
95444,2018,7.4,328.83,.,.
95444,2019,4.96,345.14,.,.
95444,2020,-0.85,342.23,.,.
95444,2021,10.27,377.39,.,.
95444,2022,6.02,400.1,.,.
95444,2023,,,.,.
95419,2017,26.21,307.78,.,208.20
95419,2018,-0.88,305.07,.,206.37
95419,2019,17.07,357.15,.,241.60
95419,2020,-11.84,314.86,.,212.99
95419,2021,14.58,360.78,.,244.05
95419,2022,,,.,.
95419,2023,,544.09,.,368.05
95979,,,,,
95439,2017,13.58,287.42,.,196.52
95439,2018,,,.,.
95439,2019,,312.23,.,213.48
95439,2020,-0.47,310.77,.,212.48
95439,2021,6.21,330.05,.,225.67
95439,2022,,,.,.
95439,2023,,,.,.
95471,,,,,
95424,,,,,
95653,,,,,
95412,,,,,
94576,,,,,
95430,,,,,
95625,,,,,
95486,,,,,
95697,,,,,
94573,,,,,
95698,,,,,
95433,,,,,
94562,,,,,
94512,,,,,
95416,,,,,
