County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Napa,94503,2017,547,4812,407.0,105.0,512,5359
Napa,94508,2017,55,718,58.0,19.0,77,773
Solano,94510,2017,663,7598,579.0,95.0,674,8261
Solano,94512,2017,14,15,1.0,1.0,2,29
Napa,94515,2017,204,2022,164.0,46.0,210,2226
Solano,94533,2017,2033,15916,1577.0,278.0,1855,17949
Solano,94534,2017,1390,11038,1084.0,118.0,1202,12428
Solano,94535,2017,3,10,2.0,0.0,2,13
Napa,94558,2017,1847,17825,1477.0,357.0,1834,19672
Napa,94559,2017,745,6378,524.0,163.0,687,7123
Napa,94562,2017,4,20,1.0,0.0,1,24
Napa,94567,2017,35,138,17.0,9.0,26,173
Solano,94571,2017,681,3872,513.0,53.0,566,4553
Napa,94573,2017,5,50,3.0,0.0,3,55
Napa,94574,2017,269,2454,217.0,64.0,281,2723
Napa,94576,2017,7,62,2.0,2.0,4,69
Solano,94585,2017,898,7557,776.0,101.0,877,8455
Solano,94591,2017,1762,14706,1465.0,270.0,1735,16468
Napa,94599,2017,106,794,83.0,19.0,102,900
Sonoma,95401,2017,912,8310,723.0,147.0,870,9222
Sonoma,95403,2017,1152,10035,950.0,292.0,1242,11187
Sonoma,95404,2017,1330,11222,1058.0,351.0,1409,12552
Sonoma,95405,2017,646,6221,500.0,119.0,619,6867
Sonoma,95409,2017,999,8153,760.0,141.0,901,9152
Sonoma,95412,2017,3,81,3.0,0.0,3,84
Sonoma,95416,2017,2,13,1.0,0.0,1,15
Sonoma,95419,2017,20,228,18.0,7.0,25,248
Sonoma,95421,2017,74,714,44.0,23.0,67,788
Lake,95422,2017,723,4154,495.0,220.0,715,4877
Lake,95423,2017,262,1707,185.0,77.0,262,1969
Lake,95424,2017,15,155,18.0,5.0,23,170
Sonoma,95425,2017,353,3101,270.0,57.0,327,3454
Lake,95426,2017,98,706,105.0,55.0,160,804
Sonoma,95430,2017,10,70,7.0,2.0,9,80
Sonoma,95433,2017,4,47,3.0,3.0,6,51
Sonoma,95436,2017,258,2112,173.0,84.0,257,2370
Sonoma,95439,2017,13,157,17.0,4.0,21,170
Sonoma,95441,2017,35,433,25.0,13.0,38,468
Sonoma,95442,2017,117,1154,89.0,30.0,119,1271
Sonoma,95444,2017,11,240,12.0,3.0,15,251
Mendocino,95445,2017,105,1035,82.0,35.0,117,1140
Sonoma,95446,2017,333,2436,212.0,108.0,320,2769
Sonoma,95448,2017,535,4902,419.0,95.0,514,5437
Mendocino,95449,2017,29,249,18.0,7.0,25,278
Sonoma,95450,2017,29,248,17.0,12.0,29,277
Lake,95451,2017,529,3924,373.0,176.0,549,4453
Sonoma,95452,2017,48,625,54.0,12.0,66,673
Lake,95457,2017,132,944,119.0,70.0,189,1076
Lake,95461,2017,142,914,120.0,52.0,172,1056
Sonoma,95462,2017,105,784,75.0,44.0,119,889
